ResponseId,Age,Ethnicity,Honesty_YT_Aby_1,Trustworthy_YT_Aby_1,Informed_YT_Aby_1,Harm_YT_Aby,NicotineCool_YT_Aby_1,NicoAttra_YT_Aby_1,VapeFriends_YT_Aby,VapeMonths_YT_Aby,VapeInt_YT_Aby,Honesty_YT_Anna_1,Trustworthy_YT_Anna_1,Informed_YT_Anna_1,Harm_YT_Anna,NicotineCool_YT_Anna_1,NicoAttra_YT_Ann_1,VapeFriends_YT_Anna,VapeMonths_YT_Anna,VapeInt_YT_Anna,Honesty_YT_Cham_1,Trustworthy_YT_Cham_1,Informed_YT_Cham_1,Harm_YT_Cham,NicotineCool_YT_Cham_1,NicoAttra_YT_Cham_1,VapeFriends_YT_Cham,VapeMonths_YT_Cham,VapeInt_YT_Cham,Honesty_YT_Fab_1,Trustworthy_YT_Fab_1,Informed_YT_Fab_1,Harm_YT_Fab,NicotineCool_YT_Fab_1,NicoAttra_YT_Fab_1,VapeFriends_YT_Fab,VapeMonths_YT_Fab,VapeInt_YT_Fab,Honesty_YT_Mae_1,Trustworthy_YT_Mae_1,Informed_YT_Mae_1,Harm_YT_Mae,NicotineCool_YT_Mae_1,NicoAttra_YT_Mae_1,VapeFriends_YT_Mae,VapeMonths_YT_Mae,VapeInt_YT_Mae,Honesty_YT_Zanx_1,Trustworthy_YT_Zanx_1,Informed_YT_Zanx_1,Harm_YT_Zanx,NicotineCool_YT_Zanx_1,NicoAttra_YT_Zanx_1,VapeFriends_YT_Zanx,VapeMonths_YT_Zanx,VapeInt_YT_Zanx,Honesty_OT_Aby_1,Trustworthy_OT_Aby_1,Informed_OT_Aby_1,Harm_OT_Aby,NicotineCool_OT_Aby_1,NicoAttra_OT_Aby_1,VapeFriends_OT_Aby,VapeMonths_OT_Aby,VapeInt_OT_Aby,Honesty_OT_Anna_1,Trustworthy_OT_Anna_1,Informed_OT_Anna_1,Harm_OT_Anna,NicotineCool_OT_Anna_1,NicoAttra_OT_Anna_1,VapeFriends_OT_Anna,VapeMonths_OT_Anna,VapeInt_OT_Anna,Honesty_OT_Cham_1,Trustworthy_OT_Cham_1,Informed_OT_Cham_1,Harm_OT_Cham,NicotineCool_OT_Cham_1,NicoAttra_OT_Cham_1,VapeFriends_OT_Cham,VapeMonths_OT_Cham,VapeInt_OT_Cham,Honesty_OT_Fab_1,Trustworthy_OT_Fab_1,Informed_OT_Fab_1,Harm_OT_Fab,NicotineCool_OT_Fab_1,NicoAttra_OT_Fab_1,VapeFriends_OT_Fab,VapeMonths_OT_Fab,VapeInt_OT_Fab,Honesty_OT_Mae_1,Trustworthy_OT_Mae_1,Informed_OT_Mae_1,Harm_OT_Mae,NicotineCool_OT_Mae_1,NicoAttra_OT_Mae_1,VapeFriends_OT_Mae,VapeMonths_OT_Mae,VapeInt_OT_Mae,Honesty_OT_Zanx_1,Trustworthy_OT_Zanx_1,Informed_OT_Zanx_1,Harm_OT_Zanx,NicotineCool_OT_Zanx_1,NicoAttra_OT_Zanx_1,VapeFriends_OT_Zanx,VapeMonths_OT_Zanx,VapeInt_OT_Zanx,Honesty_YC_Aby_1,Trustworthy_YC_Aby_1,Informed_YC_Aby_1,Harm_YC_Aby,NicotineCool_YC_Aby_1,NicoAttra_YC_Aby_1,VapeFriends_YC_Aby,VapeMonths_YC_Aby,VapeInt_YC_Aby,Honesty_YC_Anna_1,Trustworthy_YC_Anna_1,Informed_YC_Anna_1,Harm_YC_Anna,NicotineCool_YC_Anna_1,NicoAttra_YC_Anna_1,VapeFriends_YC_Anna,VapeMonths_YC_Anna,VapeInt_YC_Anna,Honesty_YC_Cham_1,Trustworthy_YC_Cham_1,Informed_YC_Cham_1,Harm_YC_Cham,NicotineCool_YC_Cham_1,NicoAttra_YC_Cham_1,VapeFriends_YC_Cham,VapeMonths_YC_Cham,VapeInt_YC_Cham,Honesty_YC_Fab_1,Trustworthy_YC_Fab_1,Informed_YC_Fab_1,Harm_YC_Fab,NicotineCool_YC_Fab_1,NicoAttra_YC_Fab_1,VapeFriends_YC_Fab,VapeMonths_YC_Fab,VapeInt_YC_Fab,Honesty_YC_Mae_1,Trustworthy_YC_Mae_1,Informed_YC_Mae_1,Harm_YC_Mae,NicotineCool_YC_Mae_1,NicoAttra_YC_Mae_1,VapeFriends_YC_Mae,VapeMonths_YC_Mae,VapeInt_YC_Mae,Honesty_YC_Zanx_1,Trustworthy_YC_Zanx_1,Informed_YC_Zanx_1,Harm_YC_Zanx,NicotineCool_YC_Zanx_1,NicoAttra_YC_Zanx_1,VapeFriends_YC_Zanx,VapeMonths_YC_Zanx,VapeInt_YC_Zanx,Honesty_OC_Aby_1,Trustworthy_OC_Aby_1,Informed_OC_Aby_1,Harm_OC_Aby,NicotineCool_OC_Aby_1,NicoAttra_OC_Aby_1,VapeFriends_OC_Aby,VapeMonths_OC_Aby,VapeInt_OC_Aby,Honesty_OC_Anna_1,Trustworthy_OC_Anna_1,Informed_OC_Anna_1,Harm_OC_Anna,NicotineCool_OC_Anna_1,NicoAttra_OC_Anna_1,VapeFriends_OC_Anna,VapeMonths_OC_Anna,VapeInt_OC_Anna,Honesty_OC_Cham_1,Trustworthy_OC_Cham_1,Informed_OC_Cham_1,Harm_OC_Cham,NicotineCool_OC_Cham_1,NicoAttra_OC_Cham_1,VapeFriends_OC_Cham,VapeMonths_OC_Cham,VapeInt_OC_Cham,Q274_First.Click,Q274_Last.Click,Q274_Page.Submit,Q274_Click.Count,Honesty_OC_Fab_1,Trustworthy_OC_Fab_1,Informed_OC_Fab_1,Harm_OC_Fab,NicotineCool_OC_Fab_1,NicoAttra_OC_Fab_1,VapeFriends_OC_Fab,VapeMonths_OC_Fab,VapeInt_OC_Fab,Q285_First.Click,Q285_Last.Click,Q285_Page.Submit,Q285_Click.Count,Honesty_OC_Mae_1,Trustworthy_OC_Mae_1,Informed_OC_Mae_1,Harm_OC_Mae,NicotineCool_OC_Mae_1,NicoAttra_OC_Mae_1,VapeFriends_OC_Mae,VapeMonths_OC_Mae,VapeInt_OC_Mae,Honesty_OC_Zanx_1,Trustworthy_OC_Zanx_1,Informed_OC_Zanx_1,Harm_OC_Zanx,NicotineCool_OC_Zanx_1,NicoAttra_OC_Zanx_1,VapeFriends_OC_Zanx,VapeMonths_OC_Zanx,VapeInt_OC_Zanx,ControlQuestion_fitness,ControlQuestion_nofitness,ControlQuestionAge,Condition,white,asian,black,multi,other,sm_exposure,infl_expos,nic_30dayuse,ecig_30dayuse,harmvape_pretest,appeal_cool_pretest,suscept_pretest,sm_freq_use,sub_30dayuse,cigcan_30dayuse
R_7MJXCeKwaYuHDvX,15,No,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,6,5,Probably yes,Probably yes,Probably yes,0,0,40.358,0,NA,NA,78,Somewhat harmful,5,NA,Probably yes,Probably yes,Probably yes,0,0,31.819,0,NA,NA,NA,Somewhat harmful,6,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,,People vaping,15,Old Control,0,0,1,0,0,1,0,1,1,3,3,1,1,1,1
R_7Eu3QmpA25GnPwG,16,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,70,71,70,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,60,67,68,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,67,72,72,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,73,73,74,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,74,77,80,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,69,68,71,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,16,Old Treat,0,0,1,0,0,1,1,1,1,4,4,1,2,1,1
R_5ot2j4A77g1DDKO,15,No,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,83,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,5,5,Probably yes,Probably yes,Probably yes,NA,79,79,Somewhat harmful,NA,5,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Probably yes,Probably yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,15,Old Treat,0,0,1,0,0,1,0,1,1,3,3,1,1,1,1
R_6xJ4wX7VhijIj3X,15,No,NA,NA,71,Somewhat harmful,NA,5,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably not,Probably yes,73,73,71,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,15,Young Treat,0,0,1,0,0,1,0,1,1,3,3,1,1,1,1
R_7esAKHAY1ePDD6v,14,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,78,82,79,Very harmful,6,5,Probably yes,Probably yes,Probably yes,79,80,78,Very harmful,5,5,Probably yes,Probably yes,Probably yes,73,79,75,Very harmful,5,5,Probably yes,Probably yes,Probably yes,0,0,24.753,0,82,78,74,Very harmful,5,5,Probably yes,Probably yes,Probably yes,0,0,11.079,0,88,78,74,Very harmful,6,5,Probably yes,Probably yes,Probably yes,74,76,68,Somewhat harmful,4,5,Probably yes,Probably yes,Probably yes,,People vaping,14,Old Control,0,0,1,0,0,0,0,1,1,2,2,1,3,1,1
R_7OUCW6cyilN7bhg,14,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,71,76,74,Very harmful,5,6,Probably yes,Probably yes,Probably yes,75,80,78,Very harmful,6,6,Probably yes,Probably yes,Probably yes,78,75,72,Very harmful,5,5,Probably yes,Probably yes,Probably yes,81,83,79,Very harmful,5,5,Probably yes,Definitely yes,Probably yes,90,84,79,Very harmful,6,5,Probably yes,Probably yes,Probably yes,79,76,76,Very harmful,5,5,Probably yes,Probably yes,Probably yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,14,Young Control,0,0,1,0,0,0,0,1,1,2,2,1,3,1,1
R_5E06eAFcaWcn2BL,14,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,86,77,79,Somewhat harmful,6,6,Probably yes,Definitely yes,Definitely yes,81,75,78,Very harmful,4,4,Probably yes,Probably yes,Probably yes,77,81,81,Very harmful,5,5,Probably yes,Probably yes,Probably yes,0,0,11.654,0,74,76,71,Very harmful,5,5,Probably yes,Probably yes,Probably yes,0,0,13.995,0,74,84,82,Very harmful,6,6,Probably yes,Probably yes,Probably yes,81,77,77,Very harmful,5,6,Probably yes,Probably yes,Probably yes,,People vaping,14,Old Control,0,0,1,0,0,0,0,1,1,2,2,1,3,1,1
R_74tBw4ZDY2sHJdf,16,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,67,72,71,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,71,73,71,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,61,69,69,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,0,0,22.824,0,69,70,69,Somewhat harmful,5,4,Definitely yes,Definitely yes,Definitely yes,0,0,20.342,0,68,73,78,Somewhat harmful,6,6,Definitely yes,Definitely yes,Definitely yes,64,70,65,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,People vaping and exercising,People vaping,16,Old Control,0,0,1,0,0,1,1,1,1,4,4,1,2,1,1
R_3g0oek4mtekdNom,16,Yes,NA,NA,NA,Extremely harmful,NA,NA,Probably yes,Definitely yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,I prefer not to answer,Probably yes,Definitely yes,NA,NA,NA,Extremely harmful,NA,NA,Definitely yes,I prefer not to answer,I prefer not to answer,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Definitely yes,I prefer not to answer,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably yes,Definitely yes,NA,NA,NA,I prefer not to answer,NA,NA,Definitely yes,Definitely yes,Definitely yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,16,Young Treat,1,0,0,0,0,0,1,1,1,1,1,1,3,1,1
R_7trt0e6omAcgmWZ,15,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Probably yes,Definitely yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Definitely yes,Probably yes,NA,NA,NA,Extremely harmful,NA,NA,Probably yes,Definitely yes,Definitely yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Definitely yes,Definitely yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,15,Young Control,0,0,1,0,0,1,1,1,1,5,5,1,2,1,1
R_1wt0Olg0uTYJP2R,15,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,Extremely harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Probably yes,Definitely yes,NA,NA,NA,Extremely harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Definitely yes,Definitely yes,NA,NA,NA,Very harmful,NA,NA,Definitely yes,Definitely yes,Definitely yes,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably yes,Definitely yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,15,Old Treat,0,0,1,0,0,1,1,1,1,4,4,1,1,1,1
R_1QKiEfYBFA1yRTV,14,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,80,79,79,Very harmful,5,5,Probably yes,Probably yes,Probably yes,86,77,76,Very harmful,5,5,Probably yes,Probably yes,Probably yes,84,81,82,Very harmful,5,6,Probably yes,Probably yes,Probably yes,0,0,11.219,0,86,76,73,Somewhat harmful,5,5,Probably yes,Probably yes,Probably yes,0,0,10.703,0,79,77,77,Very harmful,5,6,Definitely yes,Definitely yes,Probably yes,78,73,67,Very harmful,5,5,Probably yes,Probably yes,Probably yes,,People vaping,14,Old Control,0,0,1,0,0,0,0,1,1,2,2,1,2,1,1
R_72XFUhS29kQqNUd,14,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,78,84,77,Very harmful,5,5,Probably yes,Probably yes,Probably yes,87,81,82,Very harmful,6,6,Probably yes,Probably yes,Probably yes,79,75,77,Very harmful,5,5,Probably yes,Probably yes,Probably yes,0,0,11.214,0,81,81,81,Very harmful,6,5,Definitely yes,Probably yes,Probably yes,0,0,11.539,0,77,73,69,Very harmful,5,5,Definitely yes,Probably yes,Probably yes,78,78,75,Very harmful,5,5,Probably yes,Probably yes,Probably yes,,People vaping,14,Old Control,0,0,1,0,0,1,0,1,1,2,2,1,2,1,1
R_33lrOK4MEzaUWBP,16,Yes,66,66,65,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,68,79,76,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,61,61,60,Somewhat harmful,4,4,Definitely yes,Definitely yes,Definitely yes,64,72,75,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,65,68,70,Somewhat harmful,5,5,Definitely yes,Definitely yes,Definitely yes,57,61,65,Somewhat harmful,4,4,Definitely yes,Definitely yes,Definitely yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,16,Young Treat,0,0,1,0,0,1,1,1,1,4,4,1,2,1,1
R_5C2bpIMhbD2Fns1,15,No,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably yes,Definitely yes,NA,NA,NA,Somewhat harmful,6,5,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,NA,NA,Probably yes,Definitely yes,Definitely yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,Somewhat harmful,NA,NA,Probably yes,Probably yes,Definitely yes,NA,NA,NA,Very harmful,NA,NA,Probably yes,Probably yes,Probably yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,15,Young Control,0,0,1,0,0,1,0,1,1,3,3,1,NA,1,1
R_30kFoP18qx9gs2p,16,Yes,84,88,90,Somewhat harmful,6,6,Probably yes,Probably yes,Probably yes,92,92,90,Somewhat harmful,6,6,Probably yes,Probably yes,Probably yes,91,89,92,Somewhat harmful,6,6,Probably yes,Probably yes,Probably yes,90,92,93,Somewhat harmful,7,6,Probably yes,Probably yes,Probably yes,92,94,88,Slightly harmful,6,6,Probably yes,Probably yes,Probably yes,91,95,89,Somewhat harmful,6,6,Probably yes,Probably yes,Probably yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,16,Young Treat,0,0,1,0,0,1,1,1,1,4,4,1,2,1,1
